year,animal_number,treatment,sex,age_month,infected,infection_day,date,birth,age_days,Total_WBC_ul,PMN_ul,Lymph_ul,Mono_ul,Eos_ul,Baso_ul,%PMN,%Lymph,% Mono,% Eos,%Baso
3,50776,abx_fmt,M,4,no,NA,2022-11-22T00:00:00Z,2022-07-18T00:00:00Z,127,8900,979,7832,89,0,0,11,88,1,0,0
3,50776,abx_fmt,M,5,no,NA,2022-12-13T00:00:00Z,2022-07-18T00:00:00Z,148,12400,1612,9796,124,868,0,13,79,1,7,0
3,50776,abx_fmt,M,6,no,NA,2023-01-12T00:00:00Z,2022-07-18T00:00:00Z,178,9500,2470,6935,95,0,0,26,73,1,0,0
1,47453,control,M,6,no,"NA",2018-11-30T00:00:00Z,2018-05-26T00:00:00Z,188,10900,4142,6213,0,545,0,38,57,0,5,0
1,47453,control,M,4,no,"NA",2018-10-01T00:00:00Z,2018-05-26T00:00:00Z,128,13300,1862,11039,133,266,0,14,83,1,2,0
1,47453,control,M,3,no,"NA",2018-08-31T00:00:00Z,2018-05-26T00:00:00Z,97,9000,1350,7020,90,450,0,15,78,1,5,0
1,47453,control,M,2,no,"NA",2018-07-31T00:00:00Z,2018-05-26T00:00:00Z,66,7800,1404,6162,0,234,0,18,79,0,3,0
1,47453,control,M,1,no,"NA",2018-07-02T00:00:00Z,2018-05-26T00:00:00Z,37,8300,1992,5893,0,415,0,24,71,0,5,0
1,47453,control,M,0,no,"NA",2018-05-30T00:00:00Z,2018-05-26T00:00:00Z,4,5700,2223,2964,228,171,0,39,52,4,3,0
1,47455,control,F,6,no,"NA",2018-11-30T00:00:00Z,2018-05-27T00:00:00Z,187,10900,5886,4905,109,0,0,54,45,1,0,0
1,47455,control,F,4,no,"NA",2018-10-01T00:00:00Z,2018-05-27T00:00:00Z,127,12000,3000,8760,120,120,0,25,73,1,1,0
1,47455,control,F,3,no,"NA",2018-08-31T00:00:00Z,2018-05-27T00:00:00Z,96,7600,1140,6156,152,152,0,15,81,2,2,0
1,47455,control,F,2,no,"NA",2018-07-31T00:00:00Z,2018-05-27T00:00:00Z,65,9200,1288,7728,92,92,0,14,84,1,1,0
1,47455,control,F,1,no,"NA",2018-07-02T00:00:00Z,2018-05-27T00:00:00Z,36,5600,1400,4032,56,112,0,25,72,1,2,0
1,47455,control,F,0,no,"NA",2018-05-31T00:00:00Z,2018-05-27T00:00:00Z,4,5500,1815,2695,715,275,0,33,49,13,5,0
1,47457,control,F,6,no,"NA",2018-11-30T00:00:00Z,2018-05-28T00:00:00Z,186,19800,16434,2970,0,396,0,83,15,0,2,0
1,47457,control,F,4,no,"NA",2018-10-01T00:00:00Z,2018-05-28T00:00:00Z,126,9700,3395,5917,97,291,0,35,61,1,3,0
1,47457,control,F,3,no,"NA",2018-08-31T00:00:00Z,2018-05-28T00:00:00Z,95,6600,2112,3960,330,198,0,32,60,5,3,0
1,47457,control,F,2,no,"NA",2018-07-31T00:00:00Z,2018-05-28T00:00:00Z,64,6900,2070,4692,69,69,0,30,68,1,1,0
1,47457,control,F,1,no,"NA",2018-07-02T00:00:00Z,2018-05-28T00:00:00Z,35,6800,2176,4080,68,476,0,32,60,1,7,0
1,47457,control,F,0,no,"NA",2018-06-01T00:00:00Z,2018-05-28T00:00:00Z,4,7700,3542,3465,616,77,0,46,45,8,1,0
1,47467,control,M,6,no,"NA",2018-12-05T00:00:00Z,2018-05-31T00:00:00Z,188,9100,6188,2912,0,0,0,68,32,0,0,0
1,47467,control,M,5,no,"NA",2018-11-05T00:00:00Z,2018-05-31T00:00:00Z,158,6100,2257,3843,0,0,0,37,63,0,0,0
1,47467,control,M,4,no,"NA",2018-10-03T00:00:00Z,2018-05-31T00:00:00Z,125,7100,2627,4189,71,213,0,37,59,1,3,0
1,47467,control,M,3,no,"NA",2018-09-04T00:00:00Z,2018-05-31T00:00:00Z,96,5700,1254,4389,0,57,0,22,77,0,1,0
1,47467,control,M,2,no,"NA",2018-08-06T00:00:00Z,2018-05-31T00:00:00Z,67,8100,1053,6885,162,0,0,13,85,2,0,0
1,47467,control,M,1,no,"NA",2018-07-06T00:00:00Z,2018-05-31T00:00:00Z,36,6300,1386,4851,63,0,0,22,77,1,0,0
1,47467,control,M,0,no,"NA",2018-06-04T00:00:00Z,2018-05-31T00:00:00Z,4,4000,880,3000,0,120,0,22,75,0,3,0
1,47470,control,M,6,no,"NA",2018-12-05T00:00:00Z,2018-06-01T00:00:00Z,187,12100,9559,2541,0,0,0,79,21,0,0,0
1,47470,control,M,5,no,"NA",2018-11-05T00:00:00Z,2018-06-01T00:00:00Z,157,10500,6090,4410,0,0,0,58,42,0,0,0
1,47470,control,M,4,no,"NA",2018-10-03T00:00:00Z,2018-06-01T00:00:00Z,124,9300,2976,5859,0,465,0,32,63,0,5,0
1,47470,control,M,3,no,"NA",2018-09-04T00:00:00Z,2018-06-01T00:00:00Z,95,8900,2581,5963,0,356,0,29,67,0,4,0
1,47470,control,M,2,no,"NA",2018-08-06T00:00:00Z,2018-06-01T00:00:00Z,66,13800,3312,10074,0,414,0,24,73,0,3,0
1,47470,control,M,1,no,"NA",2018-07-06T00:00:00Z,2018-06-01T00:00:00Z,35,12000,2520,9000,240,240,0,21,75,2,2,0
1,47470,control,M,0,no,"NA",2018-06-05T00:00:00Z,2018-06-01T00:00:00Z,4,16700,10187,5678,835,0,0,61,34,5,0,0
1,47487,control,F,6,no,"NA",2018-12-05T00:00:00Z,2018-06-07T00:00:00Z,181,11000,8030,2970,0,0,0,73,27,0,0,0
1,47487,control,F,5,no,"NA",2018-11-05T00:00:00Z,2018-06-07T00:00:00Z,151,7300,2044,4964,219,73,0,28,68,3,1,0
1,47487,control,F,4,no,"NA",2018-10-11T00:00:00Z,2018-06-07T00:00:00Z,126,7000,2310,4550,140,0,0,33,65,2,0,0
1,47487,control,F,3,no,"NA",2018-09-11T00:00:00Z,2018-06-07T00:00:00Z,96,6600,1848,4356,198,198,0,28,66,3,3,0
1,47487,control,F,2,no,"NA",2018-08-13T00:00:00Z,2018-06-07T00:00:00Z,67,5200,1664,3224,104,200,0,32,62,2,4,0
1,47487,control,F,1,no,"NA",2018-07-11T00:00:00Z,2018-06-07T00:00:00Z,34,6400,1664,4544,0,192,0,26,71,0,3,0
1,47487,control,F,0,no,"NA",2018-06-11T00:00:00Z,2018-06-07T00:00:00Z,4,8900,6052,2403,89,356,0,68,27,1,4,0
1,47505,abx,M,6,no,"NA",2018-12-18T00:00:00Z,2018-06-13T00:00:00Z,188,6000,3720,2280,0,0,0,62,38,0,0,0
1,47505,abx,M,4,no,"NA",2018-10-18T00:00:00Z,2018-06-13T00:00:00Z,127,7500,2325,4950,150,75,0,31,66,2,1,0
1,47505,abx,M,3,no,"NA",2018-09-18T00:00:00Z,2018-06-13T00:00:00Z,97,5000,2000,3000,0,0,0,40,60,0,0,0
1,47505,abx,M,2,no,"NA",2018-08-20T00:00:00Z,2018-06-13T00:00:00Z,68,5700,1710,3819,114,57,0,30,67,2,1,0
1,47505,abx,M,1,no,"NA",2018-07-20T00:00:00Z,2018-06-13T00:00:00Z,37,7500,2475,4575,150,300,0,33,61,2,4,0
1,47505,abx,M,0,no,"NA",2018-06-18T00:00:00Z,2018-06-13T00:00:00Z,5,8900,5251,3382,267,0,0,59,38,3,0,0
1,47510,abx,F,6,no,"NA",2018-12-18T00:00:00Z,2018-06-14T00:00:00Z,187,7600,5396,2204,0,0,0,71,29,0,0,0
1,47510,abx,F,4,no,"NA",2018-10-18T00:00:00Z,2018-06-14T00:00:00Z,126,6500,1170,5200,130,0,0,18,80,2,0,0
1,47510,abx,F,3,no,"NA",2018-09-18T00:00:00Z,2018-06-14T00:00:00Z,96,6200,1116,5084,0,0,0,18,82,0,0,0
1,47510,abx,F,2,no,"NA",2018-08-20T00:00:00Z,2018-06-14T00:00:00Z,67,5400,2268,3078,0,54,0,42,57,0,1,0
1,47510,abx,F,1,no,"NA",2018-07-20T00:00:00Z,2018-06-14T00:00:00Z,36,5300,795,4505,0,0,0,15,85,0,0,0
1,47510,abx,F,0,no,"NA",2018-06-18T00:00:00Z,2018-06-14T00:00:00Z,4,5900,2773,2596,472,59,0,47,44,8,1,0
1,47538,abx,M,6,no,"NA",2019-01-09T00:00:00Z,2018-06-27T00:00:00Z,196,18100,8869,8688,362,181,0,49,48,2,1,0
1,47538,abx,M,5,no,"NA",2018-12-07T00:00:00Z,2018-06-27T00:00:00Z,163,7100,1491,5254,284,71,0,21,74,4,1,0
1,47538,abx,M,4,no,"NA",2018-11-05T00:00:00Z,2018-06-27T00:00:00Z,131,8400,2352,5796,0,252,0,28,69,0,3,0
1,47538,abx,M,3,no,"NA",2018-10-03T00:00:00Z,2018-06-27T00:00:00Z,98,9100,2093,6522,455,0,0,23,72,5,0,0
1,47538,abx,M,2,no,"NA",2018-09-04T00:00:00Z,2018-06-27T00:00:00Z,69,5700,2052,3477,0,171,0,36,61,0,3,0
1,47538,abx,M,1,no,"NA",2018-08-02T00:00:00Z,2018-06-27T00:00:00Z,36,8000,4640,2720,560,80,0,58,34,7,1,0
1,47538,abx,M,0,no,"NA",2018-07-02T00:00:00Z,2018-06-27T00:00:00Z,5,7800,4290,3198,0,312,0,55,41,0,4,0
1,47548,abx,M,6,no,"NA",2019-01-09T00:00:00Z,2018-07-05T00:00:00Z,188,10700,5504,4708,420,0,0,52,44,4,0,0
1,47548,abx,M,5,no,"NA",2018-12-07T00:00:00Z,2018-07-05T00:00:00Z,155,3400,884,2380,34,102,0,26,70,1,3,0
1,47548,abx,M,4,no,"NA",2018-11-09T00:00:00Z,2018-07-05T00:00:00Z,127,6000,1020,4740,120,120,0,17,79,2,2,0
1,47548,abx,M,3,no,"NA",2018-10-09T00:00:00Z,2018-07-05T00:00:00Z,96,6400,2048,4224,64,64,0,32,66,1,1,0
1,47548,abx,M,2,no,"NA",2018-09-10T00:00:00Z,2018-07-05T00:00:00Z,67,4700,611,3948,0,141,0,13,84,0,3,0
1,47548,abx,M,1,no,"NA",2018-08-09T00:00:00Z,2018-07-05T00:00:00Z,35,3500,770,2590,105,35,0,22,74,3,1,0
1,47548,abx,M,0,no,"NA",2018-07-09T00:00:00Z,2018-07-05T00:00:00Z,4,5300,3021,2120,53,106,0,57,40,1,2,0
1,47549,abx,F,6,no,"NA",2019-01-09T00:00:00Z,2018-07-05T00:00:00Z,191,8900,5424,3293,89,89,0,61,37,1,1,0
1,47549,abx,F,5,no,"NA",2018-12-07T00:00:00Z,2018-07-05T00:00:00Z,125,8300,1494,6474,166,166,0,18,78,2,2,0
1,47549,abx,F,4,no,"NA",2018-11-09T00:00:00Z,2018-07-05T00:00:00Z,96,7500,900,6225,150,225,0,12,83,2,3,0
1,47549,abx,F,3,no,"NA",2018-10-09T00:00:00Z,2018-07-05T00:00:00Z,66,7000,1330,5320,210,140,0,19,76,3,2,0
1,47549,abx,F,2,no,"NA",2018-09-10T00:00:00Z,2018-07-05T00:00:00Z,37,6800,1292,5168,272,68,0,19,76,4,1,0
1,47549,abx,F,1,no,"NA",2018-08-09T00:00:00Z,2018-07-05T00:00:00Z,4,4100,738,3198,82,82,0,18,78,2,2,0
1,47549,abx,F,0,no,"NA",2018-07-09T00:00:00Z,2018-07-05T00:00:00Z,4,5100,2754,2040,102,153,0,54,40,2,3,0
1,47551,abx,F,6,no,"NA",2019-01-14T00:00:00Z,2018-07-07T00:00:00Z,NA,9400,6956,2256,94,94,0,74,24,1,1,0
1,47551,abx,F,4,no,"NA",2018-11-09T00:00:00Z,2018-07-07T00:00:00Z,125,6800,1700,5032,68,0,0,25,74,1,0,0
1,47551,abx,F,3,no,"NA",2018-10-11T00:00:00Z,2018-07-07T00:00:00Z,96,6000,1620,4260,0,120,0,27,71,0,2,0
1,47551,abx,F,2,no,"NA",2018-09-11T00:00:00Z,2018-07-07T00:00:00Z,66,7400,2146,5032,0,222,0,29,68,0,3,0
1,47551,abx,F,1,no,"NA",2018-08-13T00:00:00Z,2018-07-07T00:00:00Z,37,4800,768,4032,0,0,0,16,84,0,0,0
1,47551,abx,F,0,no,"NA",2018-07-11T00:00:00Z,2018-07-07T00:00:00Z,4,5500,3190,2090,110,110,0,58,38,2,2,0
1,47552,abx,M,6,no,"NA",2019-01-14T00:00:00Z,2018-07-08T00:00:00Z,190,6100,4575,1342,183,0,0,75,22,3,0,0
1,47552,abx,M,4,no,"NA",2018-11-13T00:00:00Z,2018-07-08T00:00:00Z,128,4800,624,3984,96,96,0,13,83,2,2,0
1,47552,abx,M,3,no,"NA",2018-10-11T00:00:00Z,2018-07-08T00:00:00Z,95,5200,884,4316,0,0,0,17,83,0,0,0
1,47552,abx,M,2,no,"NA",2018-09-11T00:00:00Z,2018-07-08T00:00:00Z,65,7500,825,6675,0,0,0,11,89,0,0,0
1,47552,abx,M,1,no,"NA",2018-08-13T00:00:00Z,2018-07-08T00:00:00Z,36,6200,496,5518,124,62,0,8,89,2,1,0
1,47552,abx,M,0,no,"NA",2018-07-12T00:00:00Z,2018-07-08T00:00:00Z,4,3600,900,2664,0,36,0,25,74,0,1,0
1,47554,abx,F,6,no,"NA",2019-01-16T00:00:00Z,2018-07-11T00:00:00Z,189,9100,5642,2821,182,455,0,62,31,2,5,0
1,47554,abx,F,4,no,"NA",2018-11-15T00:00:00Z,2018-07-11T00:00:00Z,127,9300,2883,5487,186,651,0,31,59,2,7,0
1,47554,abx,F,2,no,"NA",2018-09-17T00:00:00Z,2018-07-11T00:00:00Z,68,9800,3626,5880,98,196,0,37,60,1,2,0
1,47554,abx,F,1,no,"NA",2018-08-16T00:00:00Z,2018-07-11T00:00:00Z,36,8200,3608,4428,0,164,0,44,54,0,2,0
1,47554,abx,F,0,no,"NA",2018-07-16T00:00:00Z,2018-07-11T00:00:00Z,5,8300,5229,2656,166,244,0,63,32,2,3,0
1,47557,control,F,6,no,"NA",2019-01-16T00:00:00Z,2018-07-13T00:00:00Z,187,10800,3672,6912,216,0,0,34,64,2,0,0
1,47557,control,F,4,no,"NA",2018-11-15T00:00:00Z,2018-07-13T00:00:00Z,125,9800,2352,7056,294,98,0,24,72,3,1,0
1,47557,control,F,2,no,"NA",2018-09-17T00:00:00Z,2018-07-13T00:00:00Z,66,7100,1704,5183,213,0,0,24,73,3,0,0
1,47557,control,F,1,no,"NA",2018-08-16T00:00:00Z,2018-07-13T00:00:00Z,34,7900,1501,6399,0,0,0,19,81,0,0,0
1,47557,control,F,0,no,"NA",2018-07-17T00:00:00Z,2018-07-13T00:00:00Z,4,7900,4266,3555,0,79,0,54,45,0,1,0
1,47453,control,M,5,no,"NA",2018-10-31T00:00:00Z,2018-05-26T00:00:00Z,158,10800,2376,8100,0,324,0,22,75,0,3,0
1,47455,control,F,5,no,"NA",2018-10-31T00:00:00Z,2018-05-27T00:00:00Z,157,10000,2200,7500,0,300,0,22,75,0,3,0
1,47457,control,F,5,no,"NA",2018-10-31T00:00:00Z,2018-05-28T00:00:00Z,156,3300,1089,2013,33,165,0,33,61,1,5,0
1,47505,abx,M,5,no,"NA",2018-11-19T00:00:00Z,2018-06-13T00:00:00Z,159,7900,2133,5609,79,79,0,27,71,1,1,0
1,47510,abx,F,5,no,"NA",2018-11-19T00:00:00Z,2018-06-14T00:00:00Z,158,6900,1035,5865,0,0,0,15,85,0,0,0
1,47551,abx,F,5,no,"NA",2018-12-12T00:00:00Z,2018-07-07T00:00:00Z,158,8100,3645,4293,0,162,0,45,53,0,2,0
1,47552,abx,M,5,no,"NA",2018-12-12T00:00:00Z,2018-07-08T00:00:00Z,157,8500,3485,4930,0,85,0,41,58,0,1,0
1,47554,abx,F,5,no,"NA",2018-12-17T00:00:00Z,2018-07-11T00:00:00Z,159,11400,6042,4104,570,684,0,53,36,5,6,0
1,47554,abx,F,3,no,"NA",2018-10-17T00:00:00Z,2018-07-11T00:00:00Z,98,12400,4340,7688,124,248,0,35,62,1,2,0
1,47557,control,F,5,no,"NA",2018-12-17T00:00:00Z,2018-07-13T00:00:00Z,157,7200,2736,4248,144,72,0,38,59,2,1,0
1,47557,control,F,3,no,"NA",2018-10-17T00:00:00Z,2018-07-13T00:00:00Z,96,9000,2070,6500,90,270,0,23,73,1,3,0
2,48062,abx_H1N1,M,6,yes,14,2019-11-05T00:00:00Z,2019-04-23T00:00:00Z,196,11800,8378,2832,412,0,118,71,24,4,0,1
2,48062,abx_H1N1,M,"NA",yes,14,2019-11-05T00:00:00Z,2019-04-23T00:00:00Z,196,11800,8378,2832,412,0,118,71,24,4,0,1
2,48062,abx_H1N1,M,"NA",yes,11,2019-11-02T00:00:00Z,2019-04-23T00:00:00Z,193,9000,2070,5940,540,450,0,23,66,6,5,0
2,48062,abx_H1N1,M,"NA",yes,7,2019-10-29T00:00:00Z,2019-04-23T00:00:00Z,189,6400,1920,3840,640,0,0,30,60,10,0,0
2,48062,abx_H1N1,M,"NA",yes,3,2019-10-25T00:00:00Z,2019-04-23T00:00:00Z,185,4900,1078,3577,245,0,0,22,73,5,0,0
2,48062,abx_H1N1,M,"NA",yes,2,2019-10-24T00:00:00Z,2019-04-23T00:00:00Z,184,3000,840,1950,60,150,0,28,65,2,5,0
2,48062,abx_H1N1,M,"NA",yes,1,2019-10-23T00:00:00Z,2019-04-23T00:00:00Z,183,8800,4664,3608,528,0,0,53,42,6,0,0
2,48062,abx_H1N1,M,"NA",yes,0,2019-10-22T00:00:00Z,2019-04-23T00:00:00Z,182,4100,2050,1845,164,41,0,50,45,4,1,0
2,48062,abx_H1N1,M,4,no,"NA",2019-08-28T00:00:00Z,2019-04-23T00:00:00Z,127,9600,1056,8064,480,0,0,11,84,5,0,0
2,48062,abx_H1N1,M,3,no,"NA",2019-07-29T00:00:00Z,2019-04-23T00:00:00Z,97,7700,1078,6545,0,77,0,14,85,0,1,0
2,48062,abx_H1N1,M,2,no,"NA",2019-06-29T00:00:00Z,2019-04-23T00:00:00Z,67,9200,1472,7544,184,0,0,16,82,2,0,0
2,48062,abx_H1N1,M,1,no,"NA",2019-05-29T00:00:00Z,2019-04-23T00:00:00Z,36,6900,1035,5451,207,207,0,15,79,3,3,0
2,48062,abx_H1N1,M,0,no,"NA",2019-04-29T00:00:00Z,2019-04-23T00:00:00Z,6,6400,1792,4352,192,0,64,28,68,3,0,1
2,48074,abx_H1N1,M,6,yes,14,2019-11-05T00:00:00Z,2019-04-24T00:00:00Z,195,10300,5356,4635,309,0,0,52,45,3,0,0
